,名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,家賃,管理費,敷金,礼金,間取り,面積,URL,経度,緯度
0,東急目黒線 武蔵小山駅 6階建 築15年,賃貸マンション,東京都品川区小山台１,東急池上線/戸越銀座駅 歩18分,築15年,6階建,4階,8.5万円,15000円,-,-,1K,21.66m2,https://suumo.jp/chintai/jnc_000078958101/?bc=100308739865,139.706985,35.623516
1,ＪＲ山手線 大崎駅 6階建 築20年,賃貸マンション,東京都品川区大崎１,ＪＲ京浜東北線/大井町駅 歩19分,築20年,6階建,4階,8.4万円,10000円,-,8.4万円,1K,21.57m2,https://suumo.jp/chintai/jnc_000045421504/?bc=100302177714,139.729462,35.620152
2,レオパレスオブリカーサ,賃貸マンション,東京都品川区南品川３,りんかい線/品川シーサイド駅 歩13分,築14年,3階建,3階,10.2万円,5500円,-,-,1K,19.14m2,https://suumo.jp/chintai/jnc_000078846769/?bc=100308043558,139.743912,35.608734
3,ＫＤＡ ＧＯＴＥＮＹＡＭＡ,賃貸マンション,東京都品川区東五反田３,京急本線/北品川駅 歩14分,築4年,14階建,12階,11万円,10000円,11万円,-,1K,22.5m2,https://suumo.jp/chintai/jnc_000076353031/?bc=100308896621,139.729324,35.62801
4,ＪＲ京浜東北線 大森駅 9階建 築8年,賃貸マンション,東京都品川区南大井３,京急本線/立会川駅 歩14分,築8年,9階建,6階,8.5万円,5000円,8.5万円,8.5万円,1K,21.66m2,https://suumo.jp/chintai/jnc_000051932967/?bc=100309159184,139.734573,35.590126
5,レオネクストルイエ西大井,賃貸マンション,東京都品川区西大井４,,築11年,3階建,3階,9.3万円,5500円,-,9.3万円,1K,25.2m2,https://suumo.jp/chintai/jnc_000079024854/?bc=100249002639,139.719528,35.59499
6,京急本線 青物横丁駅 10階建 築16年,賃貸マンション,東京都品川区南品川３,ＪＲ京浜東北線/大井町駅 歩9分,築16年,10階建,4階,6.8万円,2000円,-,-,1K,19m2,https://suumo.jp/chintai/jnc_000067551995/?bc=100309177283,139.743912,35.608734
7,アイディ南品川,賃貸マンション,東京都品川区南品川３,りんかい線/品川シーサイド駅 歩10分,築16年,10階建,4階,6.8万円,2000円,-,-,1K,19m2,https://suumo.jp/chintai/jnc_000067557426/?bc=100309178991,139.743912,35.608734
8,プレール天王洲アイル弐番館,賃貸マンション,東京都品川区東品川３,りんかい線/品川シーサイド駅 歩10分,築21年,9階建,9階,11.8万円,12000円,11.8万円,-,1K,31.5m2,https://suumo.jp/chintai/jnc_000075240907/?bc=100306161816,139.748749,35.614948
9,ＪＲ京浜東北線 大井町駅 4階建 築6年,賃貸マンション,東京都品川区二葉１,東急大井町線/下神明駅 歩7分,築6年,4階建,1階,15万円,8000円,15万円,15万円,1LDK,38.73m2,https://suumo.jp/chintai/jnc_000077911609/?bc=100308087714,139.726715,35.606804
10,グランド・ガーラ大森II,賃貸マンション,東京都品川区南大井３,京急本線/立会川駅 歩10分,築9年,10階建,4階,8.2万円,9500円,8.2万円,12.3万円,1K,20.26m2,https://suumo.jp/chintai/jnc_000078503719/?bc=100308722922,139.734573,35.590126
11,東急目黒線 不動前駅 7階建 築7年,賃貸マンション,東京都品川区荏原１,東急池上線/戸越銀座駅 歩11分,築7年,7階建,3階,8.3万円,7000円,-,8.3万円,1K,20.58m2,https://suumo.jp/chintai/jnc_000077600179/?bc=100308177577,139.713791,35.619991
12,都営浅草線 中延駅 8階建 築14年,賃貸マンション,東京都品川区中延６,ＪＲ埼京線/西大井駅 歩10分,築14年,8階建,3階,7.9万円,6800円,7.9万円,7.9万円,1K,20m2,https://suumo.jp/chintai/jnc_000050177012/?bc=100309308901,139.711441,35.602352
13,ＪＲ山手線 品川駅 4階建 築20年,賃貸マンション,東京都品川区北品川３,ＪＲ山手線/大崎駅 歩15分,築20年,4階建,2階,6.9万円,18000円,-,-,1K,22.36m2,https://suumo.jp/chintai/jnc_000077832878/?bc=100305850025,139.738968,35.619308
14,プリヴィレージュ目黒南,賃貸マンション,東京都品川区西五反田３,ＪＲ山手線/目黒駅 歩11分,築17年,8階建,4階,8.8万円,10000円,-,8.8万円,1K,20.47m2,https://suumo.jp/chintai/jnc_000078992351/?bc=100308919145,139.717331,35.628101
15,東急池上線 荏原中延駅 5階建 築12年,賃貸マンション,東京都品川区荏原６,東急大井町線/旗の台駅 歩14分,築12年,5階建,4階,13.6万円,8000円,13.6万円,-,1LDK,50.29m2,https://suumo.jp/chintai/jnc_000063200089/?bc=100304419378,139.704086,35.612198
16,東急池上線 荏原中延駅 3階建 築1年,賃貸アパート,東京都品川区中延３,東急大井町線/戸越公園駅 歩9分,築1年,3階建,2階,9.3万円,2000円,9.3万円,9.3万円,1K,26.56m2,https://suumo.jp/chintai/jnc_000078730873/?bc=100303654970,139.710846,35.608006
17,ノイ荏原中延,賃貸アパート,東京都品川区中延３,東急大井町線/荏原町駅 歩12分,新築,2階建,2階,9.3万円,2000円,9.3万円,9.3万円,1K,26.56m2,https://suumo.jp/chintai/jnc_000078730871/?bc=100309210931,139.710846,35.608006
18,りんかい線 大井町駅 14階建 築21年,賃貸マンション,東京都品川区大井２,ＪＲ山手線/大崎駅 歩20分,築21年,14階建,6階,8.8万円,-,-,8.8万円,1K,20.35m2,https://suumo.jp/chintai/jnc_000078895775/?bc=100308752392,139.729019,35.605042
19,プレミアムキューブ大井町#mo,賃貸マンション,東京都品川区南品川６,りんかい線/品川シーサイド駅 歩18分,築4年,7階建,1階,16.95万円,20000円,-,-,1LDK,41.32m2,https://suumo.jp/chintai/jnc_000078451412/?bc=100305743374,139.737228,35.610092
20,ルーブル大井町弐番館,賃貸マンション,東京都品川区大井２,東急大井町線/下神明駅 歩11分,築21年,14階建,6階,8.8万円,-,-,8.8万円,1K,20.35m2,https://suumo.jp/chintai/jnc_000078879103/?bc=100308685129,139.729019,35.605042
21,東急大井町線 旗の台駅 4階建 築14年,賃貸マンション,東京都品川区西中延２,東急大井町線/荏原町駅 歩8分,築14年,4階建,3階,13.5万円,6000円,13.5万円,13.5万円,ワンルーム,37.64m2,https://suumo.jp/chintai/jnc_000063180935/?bc=100223176691,139.707291,35.609825
22,ブランヴェール東邦,賃貸マンション,東京都品川区二葉４,東急池上線/荏原中延駅 歩11分,築14年,8階建,3階,8.3万円,5000円,-,-,1K,25.75m2,https://suumo.jp/chintai/jnc_000072694189/?bc=100298927428,139.715836,35.602699
23,ブライズ品川大井,賃貸マンション,東京都品川区南大井４,京急本線/鮫洲駅 歩14分,築14年,7階建,2階,7.5万円,9000円,-,7.5万円,1K,20.37m2,https://suumo.jp/chintai/jnc_000039242362/?bc=100117931130,139.736038,35.596149
24,ＪＲ京浜東北線 大井町駅 7階建 築14年,賃貸マンション,東京都品川区南大井４,ＪＲ京浜東北線/大森駅 歩16分,築14年,7階建,1階,7.4万円,10000円,-,-,1K,20.37m2,https://suumo.jp/chintai/jnc_000078949883/?bc=100308843128,139.736038,35.596149
25,レジナヒルズ,賃貸アパート,東京都品川区荏原７,東急目黒線/西小山駅 歩8分,築6年,2階建,2階,6.6万円,3500円,-,6.6万円,ワンルーム,11.47m2,https://suumo.jp/chintai/jnc_000078852099/?bc=100308065439,139.700241,35.61113
26,東急目黒線 洗足駅 2階建 築6年,賃貸アパート,東京都品川区荏原７,東急池上線/旗の台駅 歩11分,築6年,2階建,2階,6.6万円,3500円,-,6.6万円,ワンルーム,11.47m2,https://suumo.jp/chintai/jnc_000078873125/?bc=100308478981,139.700241,35.61113
27,東急ドエルグラフィオ大森,賃貸マンション,東京都品川区南大井３,東京モノレール/大井競馬場前駅 歩24分,築21年,10階建,5階,8.4万円,15000円,-,8.4万円,1K,23.77m2,https://suumo.jp/chintai/jnc_000076772482/?bc=100296893638,139.734573,35.590126
28,二葉アパートメント,賃貸マンション,東京都品川区二葉４,湘南新宿ライン宇須/西大井駅 歩11分,築15年,6階建,5階,15.3万円,10000円,15.3万円,15.3万円,1LDK,45.56m2,https://suumo.jp/chintai/jnc_000037781474/?bc=100305401372,139.715836,35.602699
29,都営浅草線 中延駅 6階建 築15年,賃貸マンション,東京都品川区二葉４,湘南新宿ライン宇須/西大井駅 歩11分,築15年,6階建,5階,15.3万円,10000円,15.3万円,15.3万円,1DK,45.56m2,https://suumo.jp/chintai/jnc_000037789019/?bc=100305610861,139.715836,35.602699
30,ブライズ品川大井DUE,賃貸マンション,東京都品川区南大井４,京急本線/鮫洲駅 歩13分,築14年,5階建,5階,8.4万円,6000円,8.4万円,8.4万円,1K,21.23m2,https://suumo.jp/chintai/jnc_000078451407/?bc=100306318522,139.736038,35.596149
31,京急本線 立会川駅 7階建 築14年,賃貸マンション,東京都品川区南大井４,ＪＲ京浜東北線/大井町駅 歩14分,築14年,7階建,5階,8.4万円,6000円,8.4万円,8.4万円,1K,21.23m2,https://suumo.jp/chintai/jnc_000078546161/?bc=100306270369,139.736038,35.596149
